worksheet,output_file,canonical_column,bloomberg_function,bloomberg_field,security_or_screen,transformation,notes
"ARES 23-68A BR Mtge",bbg_loan_collateral_export.csv,maturity_years,collateral export,Maturity Date,"same",conversion,"(Maturity Date - as_of_date)/365.25. BLOCKED pending confirmed as-of; maturity_years_provisional computed at 2026-05-31 and must be recomputed. Raw date kept in maturity_date. Range Jun-2026 to May-2033."
"ARES 23-68A BR Mtge",bbg_loan_collateral_export.csv,annual_pd,external table via rating_for_pd,,"S&P Global Annual Corporate Default & Rating Transition Study (or S&P CDO-criteria default rates)",explicit overlay,"BLOCKING: do not invent. Map rating_for_pd to a NAMED external table; cite table + vintage here when filled. Physical (real-world) PDs, tenor-consistent with the 5-year horizon. Note: point-in-time per plan vs through-the-cycle agency tables — disclose which is used. Optional cross-checks: spread-implied hazard ~ spread/(1-recovery) (~4.9%/yr pool-level, risk-neutral, do NOT use as physical input) and DRSK per obligor (works at obligor level; fails on the CLO itself)."
"ARES 23-68A BR Mtge",bbg_loan_collateral_export.csv,annual_cpr,trustee report,,"Monthly_Report_05_26 Principal Activity Report",documented overlay,"BLOCKING: team calculation in progress. Method (agreed): unscheduled principal only; period rate = unsched prin / (beginning performing balance - sched prin); annualize 1-(1-rate)^4 (quarterly); label collection period; keep calc sheet with page cite. Applied pool-level uniformly. Caveat: during reinvestment period, realized CPR measures collateral turnover, not deleveraging."
"ARES 23-68A BR Mtge",bbg_loan_collateral_export.csv,lgd,collateral export,S&P Recovery Rate,"same",conversion with fallback,"lgd = 1 - S&P Recovery Rate (413 rows; par-weighted RR 38.73% ties to TRIG 38.74%). 2 missing rows filled with sector-mean RR (provenance in lgd_source). SCENARIO CAVEAT: field likely S&P stressed (AAA-scenario) point estimate given it feeds the WARR test vs 37.25 covenant -> this lgd is a STRESS basis (~61.3% WA). lgd_base left blank pending the scenario check; base-case candidates: recovery-rating point estimates or historical 1st-lien ultimate recoveries (LGD ~25-35%). Defaulted LABL row: use observed price 43.89 as recovery proxy, not model LGD."
"ARES 23-68A BR Mtge",bbg_loan_collateral_export.csv,default_status / default_date / covenant_lite / country,collateral export,as named,"same",direct pull,"Audit columns. One defaulted obligor: LABL Inc., default date 2026-01-30, ~0.55% of par."
"ARES 23-68A BR Mtge",bbg_loan_collateral_export.csv,source_family,manual,,,constant,"bloomberg_clo."
TRIG (ARES_2023_68A_BR_TRIG.xlsx),bbg_clo_manager_export.csv,oc_ratio / ic_ratio / *_trigger_level,TRIG screen export,,"ARES 23-68A BR TRIG panel",direct transcription,"Bloomberg values snapshot. Class D tests are single (D1R/D2R presumably share; CONFIRM mapping from trustee report). report_date BLOCKING pending pull-date/determination-date confirmation."
Trustee (Monthly_Report_05_26),bbg_clo_manager_export.csv,trustee_oc_ratio / trustee_ic_ratio / trustee_determination_date,U.S. Bank monthly report,,"OC/IC Tests section",manual transcription,"TO FILL from the report itself (not the PNG screenshot — screenshots are not committed artifacts per bundle hygiene). Reconcile vs Bloomberg columns; investigate deltas > 0.5pp. Plan prefers 24-36 months of report history — only the current snapshot exists so far; history is an open Bloomberg/trustee pull."
Trustee (Periodic_Report_05_25_26),bbg_clo_tranche_export.csv,tranche / coupon_bps / attach / detach / balances,U.S. Bank payment date report,,"Schedule of Payments Pursuant to the Indenture + note payment detail",manual transcription,"Primary source for the reset stack: per-class balance, index + spread, and payment priority (confirms D1R/D2R sequencing). Cross-check balances vs market_value_overview_ares_2023.csv (two-source rule). attach/detach computed from balances: attach_j = par subordinate to j / collateral par; detach_j = attach_j + tranche par / collateral par. Reset supplement remains nice-to-have for breach-contingent mechanics."
manual,scenario_clo_stress.csv,rho_low / rho_base / rho_high,analyst assumption,,"named framework",explicit overlay,"EXPLICIT-RHO MODE: no cohort panel exists and none can be built from a single snapshot (structural — a cross-section has no co-movement information). Do NOT claim calibrated dependence. Adopt two-level intra/inter-industry values from a named source (e.g., Basel IRB corporate formula 12-24% declining in PD, or agency-style pairs); run low/base/high; reconcile qualitatively with diversity score 79."
"MV (market_value_overview_ares_2023.xlsx)",bbg_clo_tranche_export.csv,attach / detach / current_balance / coupon_all_in_pct,MV overview export,,"ARES 2023-68A MV screen",computed + direct,"Balances & all-in coupons direct; attach/detach loss-basis vs tape par (A1R detach 1.0088 >1 correctly reflects liabilities > collateral par); reported %Sub kept for definitional comparison. Spread derived = Cpn − TSFR3M 3.656 (VERIFY per class, V7). Single source pending Periodic Report (two-source rule). SUB cpn 0 = equity."
"DES (Interest/Principal/Event of Default PoP.xlsx)",waterfall config (model),step order / test placement,DES waterfall screens,,"ARES 2023-68A",direct transcription,"Authoritative Bloomberg waterfall: interest 34 steps, principal 36 (incl. reinvest-during, reinvest-after, Note Payment Sequence), EoD sequential. D1R before D2R; shared Class D tests; Interest Diversion at step 27. Confirm vs Periodic Report 'Schedule of Payments'."
"CFT AdvExports (2/4/8/12 CDR, 20260618)",reconciliation targets,per-tranche cash flows / trigger paths / PoP dollar flows / index curve,CFT screen AdvExport,,"ARES 2023-68A",direct,"PRIMARY MIMIC TARGETS: 27 sheets per file — Bond sheets per class, Triggers (Result/Threshold/Value per period; opening = TRIG panel), Interest & Principal PoP per-step dollars, Index Rates (TSFR3M 3.656 start). Settings echoed: base 20 CPR / severity 0 in captured runs — assumption echoes, not data."
"SYT exports (per class, 20260618)",reconciliation targets,price / yield / DM / WAL per scenario,SYT screen export,,"ARES 2023-68A",direct,"Settings recorded: settle 2026-06-22, reinv 3.63, call 07/25/2027 @100, CPR ladder 0–30, named collateral assumption sets (Software&IT_StressModelling*). BR price 94.81 captured; collect others (V8)."
"CLP exports (Summary/Moody/S&P)",history panel,monthly portfolio stats 05/2023–05/2026,CLP screen export,,"ARES 2023-68A",direct,"35-month deal-level history: balance, count, default %, WA margin (3.517→3.011 compression), WAC, CCC buckets ×3 agencies, recovery, cov-lite, floors. Pins tape period to 05/2026. NOT a rho cohort panel (fails sufficiency test) — exhibits only."
code (CLO.py / stage_actual_clo_contract.py),dim_clo_tranche.csv,trigger_level,derived,,"TRIG thresholds + MV balances",conversion,"Model semantics: cumulative LOSS fraction, not OC ratio. L* = 1 - T*D_g/P0: AB .0609, C .0501, D .0378, E .0259, diversion .0212 (F/SUB). Static approx; code's OC-ratio fillna path flagged V10."
code (CLO.py),fact_clo_collateral_position.csv,reference_rate / coupon_floor / discount_margin_bps,CFT Index Rates + tape,,"units per CLO.py",conversion,"reference_rate 0.03656 decimal (overrides stale 5.25% default); floors converted to decimals; DM filled = spread (par approximation, dm_source flag, V9). Verified: staging passes; live run gates on annual_pd/annual_cpr as designed."
